Domain,Findings_xss-risk-core,Findings_Semgrep,Selisih
diskominfo.sumbawakab.go.id,0,0,0
diskominfotik.sumbawakab.go.id,61,2,59
bappeda.sumbawakab.go.id,2,2,0
bkad.sumbawakab.go.id,16,2,14
bkpsdm.sumbawakab.go.id,0,0,0
bpbd.sumbawakab.go.id,48,2,46
dukcapil.sumbawakab.go.id,37,2,35
dp2kbp3a.sumbawakab.go.id,60,2,58
dikes.sumbawakab.go.id,88,2,86
disketapang.sumbawakab.go.id,46,2,44
dinaslh.sumbawakab.go.id,12,2,10
dishub.sumbawakab.go.id,26,2,24
distani.sumbawakab.go.id,24,2,22
disnakkeswan.sumbawakab.go.id,70,2,68
dislutkan.sumbawakab.go.id,12,2,10
pmptsp.sumbawakab.go.id,44,2,42
inspektorat.sumbawakab.go.id,1,1,0
kesbangpol.sumbawakab.go.id,29,2,27
disnakertrans.sumbawakab.go.id,78,2,76
disporapar.sumbawakab.go.id,65,2,63
damkar.sumbawakab.go.id,18,2,16
prkp.sumbawakab.go.id,12,2,10
rsud.sumbawakab.go.id,0,0,0
satpolpp.sumbawakab.go.id,28,2,26
setda.sumbawakab.go.id,76,2,74
setwan.sumbawakab.go.id,2,2,0
upt-lablh.sumbawakab.go.id,13,2,11
ppid.sumbawakab.go.id,0,0,0
kec-sumbawa.sumbawakab.go.id,11,2,9
bpkad.sumbawakab.go.id,0,0,0
pesta-kawa.sumbawakab.go.id,2,0,2
dprd.sumbawakab.go.id,0,0,0
disos.sumbawakab.go.id,2,2,0
esamsatkotasumbawa.org,0,0,0
www.pajak.go.id,0,0,0
web.disdikbud.sumbawakab.go.id,1,5,-4
kab-sumbawa.kpu.go.id,7,0,7
dispussip.sumbawakab.go.id,51,2,49
pupr.sumbawakab.go.id,7,2,5
bapenda.sumbawakab.go.id,74,2,72
portal.uts.ac.id,4,1,3
mbkm.uts.ac.id,1,1,0
samawa-university.ac.id,2,2,0
staissumbawa.sevimaplatform.com,4,0,4
desa-pulaubungin.sumbawakab.go.id,8,3,5
desa-sebewe.sumbawakab.go.id,22,17,5
desa-brangkolong.sumbawakab.go.id,11,0,11
desa-poto.sumbawakab.go.id,4,0,4
desa-perung.sumbawakab.go.id,11,0,11
desa-pelat.sumbawakab.go.id,13,0,13
desa-semamung.sumbawakab.go.id,11,0,11
desa-lito.sumbawakab.go.id,27,16,11
desa-moyomekar.sumbawakab.go.id,14,3,11
desa-batutering.sumbawakab.go.id,5,0,5
desa-barutahan.sumbawakab.go.id,10,0,10
smanika-sumbawabesar.sch.id,1,2,-1
sman2sumbawabesar.sch.id,0,0,0
sman3sumbawa.sch.id,0,0,0
sman4sumbawabesar.sch.id,1,1,0
smkn2sumbawabesar.sch.id,2,0,2
jorok-utan.desa.id,6,4,2
kesultanansumbawa.id,1,0,1
kabarsumbawa.com,0,0,0
mediasumbawa.com,0,0,0
sumbawanews.com,4,11,-7
samawarea.com,0,0,0
suarasumbawa.com,0,0,0
