Domain,RiskLevel@cspWeaknessRatio=0.3,RiskLevel@cspWeaknessRatio=0.4,RiskLevel@cspWeaknessRatio=0.5,RiskLevel@cspWeaknessRatio=0.6,RiskLevel@cspWeaknessRatio=0.7,RiskLevel@cspWeaknessRatio=0.8,FinalScore@cspWeaknessRatio=0.3,FinalScore@cspWeaknessRatio=0.4,FinalScore@cspWeaknessRatio=0.5,FinalScore@cspWeaknessRatio=0.6,FinalScore@cspWeaknessRatio=0.7,FinalScore@cspWeaknessRatio=0.8,LikelihoodScore@cspWeaknessRatio=0.3,LikelihoodScore@cspWeaknessRatio=0.4,LikelihoodScore@cspWeaknessRatio=0.5,LikelihoodScore@cspWeaknessRatio=0.6,LikelihoodScore@cspWeaknessRatio=0.7,LikelihoodScore@cspWeaknessRatio=0.8,ImpactScore@cspWeaknessRatio=0.3,ImpactScore@cspWeaknessRatio=0.4,ImpactScore@cspWeaknessRatio=0.5,ImpactScore@cspWeaknessRatio=0.6,ImpactScore@cspWeaknessRatio=0.7,ImpactScore@cspWeaknessRatio=0.8,Stabil?
diskominfo.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
diskominfotik.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
bappeda.sumbawakab.go.id,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,33,31,28,26,23,20,64,69,74,79,84,90,70,70,70,70,70,70,Tidak
bkad.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
bkpsdm.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
bpbd.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
dukcapil.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
dp2kbp3a.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
dikes.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
disketapang.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
dinaslh.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
dishub.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
distani.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
dislutkan.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
dkukmindag.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
dpmd.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
pmptsp.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
inspektorat.sumbawakab.go.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,31,29,26,24,22,20,69,73,78,82,87,91,70,70,70,70,70,70,Ya
kesbangpol.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
disnakertrans.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
disporapar.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
damkar.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
prkp.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
rsud.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
satpolpp.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
setda.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,58,64,70,76,82,88,70,70,70,70,70,70,Tidak
setwan.sumbawakab.go.id,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,33,31,28,26,23,20,64,69,74,79,84,90,70,70,70,70,70,70,Tidak
upt-lablh.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
ppid.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
kec-sumbawa.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,76,82,88,70,70,70,70,70,70,Tidak
bpkad.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
pesta-kawa.sumbawakab.go.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
dprd.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
esamsatkotasumbawa.org,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
www.pajak.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
web.disdikbud.sumbawakab.go.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,31,29,26,24,22,20,69,73,78,82,87,91,70,70,70,70,70,70,Ya
kab-sumbawa.kpu.go.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
portal.uts.ac.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,35,32,29,26,24,21,61,66,72,78,83,89,70,70,70,70,70,70,Tidak
mbkm.uts.ac.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,31,29,26,24,22,20,69,73,78,82,87,91,70,70,70,70,70,70,Ya
samawa-university.ac.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,31,29,26,24,22,20,69,73,78,82,87,91,70,70,70,70,70,70,Ya
staissumbawa.sevimaplatform.com,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
desa-pulaubungin.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,35,32,29,27,24,21,60,66,72,77,83,89,70,70,70,70,70,70,Tidak
desa-sebewe.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
desa-brangkolong.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
desa-poto.sumbawakab.go.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
desa-perung.sumbawakab.go.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
desa-pelat.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
desa-semamung.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
desa-lito.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
desa-moyomekar.sumbawakab.go.id,HIGH,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,36,33,30,27,24,21,59,65,71,77,83,88,70,70,70,70,70,70,Tidak
desa-batutering.sumbawakab.go.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
desa-barutahan.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
smanika-sumbawabesar.sch.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,31,29,26,24,22,20,69,73,78,82,87,91,70,70,70,70,70,70,Ya
sman2sumbawabesar.sch.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
sman3sumbawa.sch.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
sman4sumbawabesar.sch.id,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,14,12,10,8,6,4,72,76,80,84,88,92,100,100,100,100,100,100,Ya
smkn2sumbawabesar.sch.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,52,49,46,44,41,38,57,62,68,73,79,84,40,40,40,40,40,40,Tidak
jorok-utan.desa.id,HIGH,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,34,31,28,26,23,21,63,68,74,79,84,89,70,70,70,70,70,70,Tidak
desa-semamung.sumbawakab.go.id,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
kesultanansumbawa.id,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,51,48,45,42,39,36,58,64,70,76,82,88,40,40,40,40,40,40,Tidak
kabarsumbawa.com,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,86,81,76,72,67,62,29,38,48,57,67,76,0,0,0,0,0,0,Tidak
mediasumbawa.com,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
sumbawanews.com,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,15,13,10,8,6,4,71,75,80,84,88,92,100,100,100,100,100,100,Ya
samawarea.com,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
suarasumbawa.com,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,85,80,75,70,65,60,30,40,50,60,70,80,0,0,0,0,0,0,Tidak
